filler_zip,poly_index,assigned_to_zip,centroid_lon,centroid_lat,area_m2
865MX,0,86504,-109.2088259,35.9195891,46321662.48
865MX,1,86511,-109.2404018,35.5949660,133108995.32
865MX,2,86535,-109.7966732,36.5869947,151801789.86
865MX,3,86510,-110.3277404,36.0066188,47710530.11
870MX,0,87528,-107.1530670,36.6444820,80555390.83
870MX,1,87013,-107.4708479,36.4822041,99390830.04
870MX,2,87313,-107.5655268,35.7004843,52707302.13
870MX,3,87001,-106.5270914,35.5869937,18918150.22
870MX,4,87001,-106.5382024,35.5034557,58192667.52
870MX,5,87013,-107.2862352,35.4481983,1854340844.38
870MX,6,87011,-106.0750107,33.8860964,83803506.53
871MX,0,87144,-106.9417543,35.3726015,8414997.72
871MX,1,87144,-106.9704187,35.3147414,28901811.96
873MX,0,87455,-108.4556712,36.2646956,250431914.55
873MX,1,87313,-108.2452268,35.9721907,35044150.48
873MX,2,87313,-108.0260242,35.9887483,14114415.15
873MX,3,87313,-107.9149937,35.9210637,104505725.76
873MX,4,87326,-109.0307898,35.1398383,15014730.51
873MX,5,87323,-108.3357681,35.2629256,74362777.56
873MX,6,87327,-108.8508116,34.9734701,19140417.58
874MH,0,87420,-108.9879051,36.9956852,187907.88
874MX,0,87419,-107.2257631,36.9376173,66455398.86
874MX,1,87420,-108.7165140,36.7182678,2979282638.59
874MX,2,87413,-107.8486988,36.4963171,40856602.85
874MX,3,87528,-107.3374553,36.4991748,130768151.09
874MX,4,87499,-108.3077748,36.2943404,91594818.74
875MX,0,87528,-107.1730434,36.9523653,46622054.95
875MX,1,87520,-106.3979025,36.9093160,56068652.81
875MX,2,87519,-105.8513107,36.8298152,471178462.71
877MX,0,88416,-103.9056196,35.4485725,422284682.60
877MX,1,87740,-104.8856964,36.7775117,1447239846.74
878MX,0,87832,-106.0647112,33.7957749,39668020.79
878MX,1,87011,-106.2974133,34.0929168,170744681.20
878MX,2,87832,-106.6304690,34.1993694,228067395.94
878MX,3,87832,-106.5105728,33.6305129,1236259704.52
878MX,4,87006,-107.0442368,34.4072620,343740621.15
878MX,5,87825,-107.6283474,34.4581799,211422232.64
879MX,0,87901,-106.5101039,33.2039948,1490090622.79
879MX,1,87936,-107.1078843,32.8450649,438570333.02
879MX,2,88030,-107.1759969,32.4037877,222618884.66
880MX,0,88011,-106.4694182,32.2366244,272514749.72
880MX,1,88011,-106.4642723,32.8012062,1570785213.62
880MX,2,88012,-106.9053530,32.6922780,229245179.13
880MX,3,88030,-108.1889568,32.4836915,58301480.93
882MX,0,88240,-103.5232528,32.5067817,42888198.62
883MX,0,88352,-106.2581772,33.2870656,1533988903.97
883MX,1,88310,-106.2768720,32.5562283,545897220.94
883MX,2,88344,-105.4716416,32.2292860,5554103799.75
890MH,0,89040,-114.3318330,36.6285782,20906296.68
890MH,1,86443,-114.2151457,36.0963140,62809183.52
890MX,0,89043,-114.1402677,38.5581720,455426018.34
890MX,1,89008,-114.2344454,36.9883020,1379068198.83
890MX,2,89007,-114.2167151,36.2883518,1257915751.33
890MX,3,89049,-116.1950304,37.9279580,47176853767.05
893MX,0,89310,-117.2425442,39.8757451,635460579.00
893MX,1,89316,-116.4220677,40.1209738,1429154482.08
893MX,2,89301,-114.2895913,39.7524908,3407233156.52
893MX,3,89316,-115.6862509,39.4716240,11499385399.23
893MX,4,89311,-114.5257923,38.8580358,2315724429.43
894MH,0,89415,-118.7367620,38.7696399,10610863.11
894MX,0,89426,-117.2716007,41.7079090,2885615039.61
894MX,1,89438,-117.3400008,40.7734513,539635962.20
894MX,2,89425,-118.3788103,41.8584053,772233199.90
894MX,3,89420,-117.7443222,38.6642871,1285921074.99
894MX,4,89406,-118.4143561,39.3859634,407623312.24
894MX,5,89419,-117.9997795,39.9844272,4901320030.97
894MX,6,89419,-119.1076074,40.8332418,9065471765.36
894MX,7,89415,-118.4128759,38.5603354,5761069296.48
898MX,0,89825,-114.3921782,41.7254100,3136919730.74
898MX,1,89826,-115.0136057,41.9155225,671616066.08
898MX,2,89826,-115.3665547,41.5867180,2315690733.56
898MX,3,89801,-115.8001483,41.8705795,483628655.06
898MX,4,89833,-114.6115089,40.4402750,6797600655.21
898MX,5,89822,-116.0418534,40.9459152,328373151.16
898MX,6,89815,-115.9113755,40.3751277,1230057652.51
898MX,7,89820,-116.4912558,41.0540605,660766872.54
898MX,8,89832,-116.6816175,41.6788235,4154656861.37
898MX,9,89820,-117.2549578,40.4927876,293201353.08
907MX,0,93042,-118.4853928,32.9002884,146800971.09
920MX,0,92539,-116.4437452,33.4079137,20813810.92
922MX,0,92242,-114.3823776,34.3070386,370912648.62
922MX,1,92277,-115.1090030,34.5066974,1696346955.02
922MX,2,92239,-115.3681606,33.7861946,6008148800.19
922MX,3,92277,-116.2683052,34.4147656,195913674.12
923MX,0,92332,-114.8789490,35.1044701,317782427.71
923MX,1,92364,-115.1882225,35.3676757,214628127.48
923MX,2,92363,-114.9092945,34.7710060,988170625.39
923MX,3,92364,-115.8324785,35.0579803,2190246815.90
923MX,4,92285,-116.2419698,34.5438502,1232422226.91
923MX,5,92384,-116.6650866,35.7651017,14861009044.50
931MX,0,93001,-120.1050212,33.9665962,214744522.79
931MX,1,93001,-120.3746685,34.0382780,42338336.80
932MX,0,93501,-118.0663460,35.4719263,46972906.63
932MX,1,93501,-118.1112049,35.4065807,56946825.93
932MX,2,93527,-118.4273187,36.5080032,799085270.98
932MX,3,93527,-118.2960241,35.9661469,596648458.40
932MX,4,93212,-119.7178782,35.9265331,409429987.96
932MX,5,93249,-119.9133489,35.4751464,37240550.65
934MX,0,93224,-119.6532088,35.0771116,79061907.24
934MX,1,93254,-119.9117599,34.8675146,673819389.50
934MX,2,93105,-119.5529577,34.6362526,404895702.04
935MX,0,93545,-118.0399825,36.8230033,177981038.06
935MX,1,93522,-117.5344371,36.5881905,8637476073.23
935MX,2,93514,-118.6933614,37.7648479,321336874.98
935MX,3,93528,-117.5938308,35.3620879,857653724.71
935MX,4,93546,-118.8403647,37.9624474,514703741.69
935MX,5,93501,-118.1279033,35.2937626,147868233.75
936MX,0,93634,-118.6130068,36.8585433,1165498821.78
936MX,1,93529,-119.3002844,37.5785105,1161747176.69
939MX,0,93930,-121.3145644,36.0116092,69624036.44
952MX,0,95223,-120.2124650,38.4449561,1425539.53
953MX,0,95389,-119.4472841,37.7544477,272781756.49
953MX,1,95335,-119.9566166,38.0674166,15475617.33
953MX,2,95223,-120.0618941,38.3265937,195557614.55
953MX,3,95321,-120.0452892,37.9698013,57008980.30
954MX,0,95939,-122.8605637,39.5652034,93009435.19
954MX,1,95469,-122.8147216,39.3825509,110467666.24
